5.000000
64 64 64
-0.152408 -0.774244 -0.614262 16.449821
88857 25 44 21
0.647760 -0.640243 0.412911 10.039152
92953 25 44 22
0.379114 -0.662040 0.646511 13.077125
97049 25 44 23
-0.237283 -0.782984 0.575007 15.877518
101145 25 44 24
-0.241548 -0.907249 -0.344317 16.108269
109337 25 44 26
-0.270056 -0.708799 -0.651670 12.455382
207641 25 44 50
0.748733 -0.652837 0.114903 2.762168
97113 25 45 23
-0.252792 -0.946757 0.199365 10.732913
101209 25 45 24
-0.214339 -0.964703 -0.152991 10.703964
109401 25 45 26
-0.141242 -0.900278 -0.411765 7.855085
91354 26 19 22
0.227953 0.927513 0.296238 11.184057
95450 26 19 23
0.357928 0.862280 -0.358273 10.755219
87322 26 20 21
0.138089 0.538893 0.830979 11.627841
91418 26 20 22
0.526850 0.753925 0.392462 15.535652
95514 26 20 23
0.570689 0.702670 -0.424934 14.945679
103706 26 20 25
0.519703 0.683673 -0.512347 11.591732
91482 26 21 22
0.849679 -0.065607 0.523202 16.717724
79258 26 22 19
0.317137 0.522135 0.791706 12.409625
83354 26 22 20
0.613892 0.770126 0.173326 15.446287
87450 26 22 21
0.999386 0.020641 -0.028316 15.325270
95642 26 22 23
0.908306 -0.307238 -0.283874 16.449659
107930 26 22 26
0.617933 0.294824 -0.728861 10.240949
206234 26 22 50
-0.379100 0.891201 -0.249088 5.674179
79322 26 23 19
0.415900 -0.265650 0.869745 13.385013
83418 26 23 20
0.897399 -0.433869 -0.080208 16.120838
87514 26 23 21
0.738431 -0.363712 -0.567833 14.821083
95706 26 23 23
0.695298 -0.698379 -0.169785 15.441292
107994 26 23 26
0.862382 -0.142639 -0.485748 10.979482
206298 26 23 50
-0.883879 0.056785 -0.464255 7.208671
79386 26 24 19
0.286183 -0.512865 0.809363 10.081339
189978 26 24 46
0.346267 0.917604 -0.195194 8.251509
83546 26 25 20
0.378413 -0.629203 0.678901 12.052234
87642 26 25 21
0.609555 -0.680762 -0.406210 12.743299
124506 26 25 30
0.098065 0.928184 0.358967 6.305208
185946 26 25 45
0.585403 0.807258 0.075079 12.444229
83610 26 26 20
0.312213 -0.842398 0.439191 7.131436
124570 26 26 30
0.325332 0.822312 0.466864 11.216690
132762 26 26 32
0.508489 0.861021 0.009047 14.863810
136858 26 26 33
0.301677 0.825064 -0.477766 12.957323
140954 26 26 34
0.093378 0.774823 -0.625243 8.107539
173722 26 26 42
0.362058 0.749296 0.554500 8.892977
181914 26 26 44
0.862623 0.359262 0.356107 12.801076
194202 26 26 47
0.423740 -0.198820 -0.883694 10.951446
202394 26 26 49
0.728956 -0.410643 -0.547718 5.795592
87770 26 27 21
0.367201 -0.925324 -0.094545 2.777750
128730 26 27 31
0.634190 0.725278 0.267909 17.949297
136922 26 27 33
0.666613 0.359168 -0.653165 17.181198
173786 26 27 42
0.704799 0.310572 0.637811 12.328193
181978 26 27 44
0.548553 0.277069 -0.788874 13.142767
128794 26 28 31
0.448266 -0.103077 -0.887937 19.045689
141082 26 28 34
0.772946 -0.234092 -0.589708 14.124612
182042 26 28 44
-0.423026 -0.824721 -0.375345 12.859383
186138 26 28 45
0.097147 -0.925226 -0.366769 12.489186
124762 26 29 30
0.402937 -0.830873 0.383785 18.509018
132954 26 29 32
0.750845 -0.474286 -0.459657 16.238443
173914 26 29 42
0.988987 0.147357 0.013799 14.019701
182106 26 29 44
0.145584 -0.923709 -0.354354 10.238448
186202 26 29 45
0.139035 -0.919842 -0.366825 8.893970
79770 26 30 19
0.890440 0.329333 0.314097 0.739386
116634 26 30 28
0.135956 -0.618110 0.774246 13.794717
120730 26 30 29
0.538533 -0.744629 0.394348 15.656124
128922 26 30 31
0.182082 -0.909489 -0.373732 14.991980
145306 26 30 35
0.927151 0.371874 -0.045831 13.802755
157594 26 30 38
0.934293 0.304946 0.184673 13.817976
161690 26 30 39
0.967367 0.253334 0.004864 14.361544
169882 26 30 41
0.987454 0.156337 0.022219 15.632445
173978 26 30 42
0.931081 -0.075673 -0.356877 14.296280
116698 26 31 28
-0.595814 -0.625918 0.503222 12.183163
124890 26 31 30
0.431146 -0.824199 -0.367163 13.396492
157658 26 31 38
0.995616 0.093125 0.008766 15.155107
165850 26 31 40
0.962358 -0.270749 0.023720 14.673865
169946 26 31 41
0.902688 -0.418664 -0.099372 14.483417
88090 26 32 21
-0.707224 0.665671 -0.238152 4.652460
104474 26 32 25
-0.480398 0.331077 0.812161 9.167771
108570 26 32 26
-0.977974 0.075470 0.194605 11.893296
124954 26 32 30
0.246151 -0.915449 -0.318374 9.819986
133146 26 32 32
0.856792 -0.433319 -0.279538 6.062921
145434 26 32 35
0.807542 0.308733 0.502554 15.959066
153626 26 32 37
0.937364 0.263288 -0.228096 16.107967
157722 26 32 38
0.965227 0.166714 -0.201356 15.511625
161818 26 32 39
0.953058 0.024396 -0.301804 14.313072
88154 26 33 21
-0.823158 -0.561810 -0.082349 4.841048
96346 26 33 23
-0.870467 0.255912 0.420472 4.031994
100442 26 33 24
-0.646409 0.014747 0.762849 5.950110
125018 26 33 30
0.200555 -0.905334 -0.374363 5.720110
145498 26 33 35
0.979539 -0.137971 0.146517 16.972445
149594 26 33 36
0.857289 -0.478815 -0.189184 16.658031
153690 26 33 37
0.952338 -0.304580 0.016836 16.286747
161882 26 33 39
0.877407 0.086292 -0.471923 14.794221
112794 26 34 27
-0.788738 0.493270 0.366848 16.663671
141466 26 34 34
0.784157 -0.526294 0.328805 13.004034
145562 26 34 35
0.804024 -0.593642 -0.033691 14.023133
153754 26 34 37
0.759209 -0.517306 0.394964 14.653677
157850 26 34 38
0.948957 -0.293378 0.115802 16.181540
161946 26 34 39
0.912493 -0.086686 -0.399803 14.944796
178330 26 34 43
0.780249 -0.424341 -0.459506 4.288136
84186 26 35 20
-0.379907 -0.718305 0.582845 1.322669
108762 26 35 26
-0.589640 0.142619 0.794974 13.457020
149722 26 35 36
0.773815 -0.626423 0.093833 10.034944
178394 26 35 43
0.729695 -0.578253 -0.364921 3.052154
108826 26 36 26
-0.481390 0.288845 0.827546 14.914653
117018 26 36 28
-0.814675 0.512628 -0.271141 20.524342
121114 26 36 29
-0.019682 0.270748 -0.962449 16.853153
166170 26 36 40
0.657059 -0.708541 -0.257377 4.961293
104794 26 37 25
-0.309652 0.922681 0.229729 15.576470
112986 26 37 27
-0.787507 0.321903 0.525559 19.836843
117082 26 37 28
0.209286 -0.901989 -0.377643 20.434996
